age_of_property,coop_condo,dining_room_type,fuel_type,garage_exists,kitchen_type,maintenance_cost,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,parking_charges,pct_tax_deductibl,sale_price,sq_footage,total_taxes,zip_code,common_charges_numeric_dollars
53,condo,combo,gas,1,eat in,NA,3,1,1,6,0,0,660000,NA,4200,11362,319
41,condo,formal,gas,0,eat in,NA,1,1,0,3,0,0,408000,NA,2138,11364,187
37,condo,combo,gas,0,efficiency,NA,3,2,0,6,0,0,460000,1033,3500,11379,405
66,co-op,combo,oil,0,efficiency,727,1,1,0,3,0,0,160000,800,NA,11435,0
74,co-op,combo,electric,0,Eat in,735,1,1,0,3,0,0,169000,NA,NA,11367,0
72,co-op,NA,oil,0,efficiency,676,1,1,0,3,0,0,170000,NA,NA,11358,0
87,co-op,combo,oil,0,efficiency,397,0,1,0,2,0,0,182000,NA,NA,11372,0
72,co-op,combo,gas,1,efficiency,671,1,1,0,3,0,0,162000,NA,NA,11365,0
16,condo,combo,NA,0,eat in,NA,2,2,0,5,0,0,599000,NA,184,11355,0
38,condo,formal,gas,0,Eat In,NA,1,1,0,4,0,0,475000,750,3370,11360,381
59,condo,NA,gas,0,efficiency,NA,2,2,0,5,30,0,285000,NA,3550,11414,515
61,co-op,NA,oil,1,efficiency,612,0,1,0,2,215,0,120000,NA,NA,11415,0
84,co-op,formal,oil,0,efficiency,1306,3,2,0,5,0,36,490000,NA,NA,11375,0
66,co-op,other,oil,0,efficiency,606,2,1,1,4,0,0,285000,1000,NA,11372,0
69,co-op,combo,gas,0,efficiency,670,1,1,0,3,0,50,186500,NA,NA,11364,0
74,co-op,formal,gas,0,eat in,463,2,1,0,4,9,60,212000,NA,NA,11364,0
17,condo,formal,gas,0,eat in,NA,2,2,0,6,0,0,495000,1000,200,11365,411
69,co-op,formal,NA,0,efficiency,1117,2,1,1,5,0,0,505000,NA,NA,11375,0
74,co-op,NA,oil,0,efficiency,614,1,1,0,3,0,0,125000,NA,NA,11361,0
59,co-op,formal,gas,0,efficiency,1880,3,3,0,6,0,0,755000,NA,NA,11375,0
72,co-op,NA,gas,0,efficiency,NA,1,1,0,4,0,0,127000,675,NA,11372,0
22,condo,NA,gas,0,efficiency,NA,2,2,0,5,0,0,560000,NA,NA,11355,0
74,co-op,combo,gas,0,eat in,789,3,1,0,5,0,39,301000,856,NA,11004,0
74,co-op,combo,gas,0,eat in,632,2,1,0,5,0,0,220000,NA,NA,11364,0
60,condo,formal,oil,0,efficiency,NA,3,2,0,6,30,0,355000,NA,4958,11414,864
77,co-op,combo,gas,0,eat in,667,1,1,0,4,0,0,220000,800,NA,11374,0
104,co-op,combo,oil,0,efficiency,592,1,1,0,1,0,50,125000,NA,NA,11375,0
70,condo,NA,oil,0,eat in,NA,2,2,0,5,0,0,540000,NA,3048,11365,468
69,co-op,other,gas,0,eat in,558,1,1,0,3,0,0,108000,800,NA,11423,0
17,condo,combo,gas,0,efficiency,NA,2,2,0,6,0,0,475000,900,240,11365,421
61,co-op,formal,none,1,eat in,435,1,1,0,2,130,0,160000,NA,NA,11374,0
34,condo,formal,gas,0,eat in,NA,3,1,0,6,0,0,160000,1000,1024,11433,198
69,co-op,other,oil,1,Combo,806,2,1,0,5,130,50,276000,NA,NA,11435,0
